,Datetime,Tweet Id,Text,Media
46,2022-02-01 20:10:16+00:00,1488605642793365505,Actress Rachel Zegler has responded to criticism of her casting as Snow White in an upcoming live-action remake https://t.co/ujNEZc0KhJ,CNN
47,2022-02-01 20:00:12+00:00,1488603108330586114,"More than 85 million people from the Rockies to New England are under weather alerts. Some spots could get the most snow in a century.
https://t.co/F0308600DB",CNN
48,2022-02-01 19:53:00+00:00,1488601296311566338,"Aston Martin has unveiled a new version of the British luxury brand's first SUV. Called the DBX707, it's powered by a 697-horsepower turbocharged V8 engine, and Aston is calling it ""the world's most powerful luxury SUV."" https://t.co/8wGzDgEeIV",CNN
49,2022-02-01 19:40:25+00:00,1488598128244793350,"Jimin, a member of South Korean supergroup BTS, tested positive for Covid-19 and underwent surgery for acute appendicitis, his management agency said Monday https://t.co/IV0TVaSrT0",CNN
50,2022-02-01 19:28:10+00:00,1488595045779447808,"Elon Musk offered a Florida teen $5,000 to delete a Twitter account that tracks the billionaire's private jet -- but it wasn't enough https://t.co/6kZdK0hJai",CNN
51,2022-02-01 19:16:03+00:00,1488591999091544066,"Amnesty International has become the latest human rights organization to accuse Israel of apartheid for its treatment of Palestinians, prompting an angry response from Israel, which has denounced the report as anti-Semitic https://t.co/rAtSfhEa42",CNN
52,2022-02-01 19:03:18+00:00,1488588790679625734,"The FBI and San Bernardino County Sheriff's Department are accused of illegally pulling over vehicles transporting funds from marijuana dispensaries and seizing money, a new lawsuit claims https://t.co/qepn6Yrw4e",CNN
53,2022-02-01 18:50:58+00:00,1488585683140845568,The incoming executive director for Georgetown University's Center for the Constitution has been placed on administrative leave after social media comments made last week questioning President Joe Biden's intentions for the US Supreme Court vacancy https://t.co/ASsDrDge25,CNN
54,2022-02-01 18:39:15+00:00,1488582737896353797,"Alec Baldwin has settled a lawsuit about a dispute with a man over a parking spot in New York City, according to attorneys involved in the case https://t.co/s29W5Yd2X6",CNN
55,2022-02-01 18:27:51+00:00,1488579865263714305,"Moses J. Moseley, who portrayed one of the zombies on ""The Walking Dead,"" has died, his talent manager Gail Tassell confirmed to CNN https://t.co/tF9VuzN6F7",CNN
